,movie,year,imdb,votes,summary,storyline,summary_storyline
4,Star Wars: Episode IV - A New Hope,1977,8.6,1217538,"Luke Skywalker joins forces Jedi Knight , cocky pilot , Wookiee two droids save galaxy Empire 's world-destroying battle station , also attempting rescue Princess Leia mysterious Darth Vader .","The Imperial Forces , orders cruel Darth Vader , hold Princess Leia hostage efforts quell rebellion Galactic Empire . Luke Skywalker Han Solo , captain Millennium Falcon , work together companionable droid duo R2-D2 C-3PO rescue beautiful princess , help Rebel Alliance restore freedom justice Galaxy .","Luke Skywalker joins forces Jedi Knight , cocky pilot , Wookiee two droids save galaxy Empire 's world-destroying battle station , also attempting rescue Princess Leia mysterious Darth Vader .The Imperial Forces , orders cruel Darth Vader , hold Princess Leia hostage efforts quell rebellion Galactic Empire . Luke Skywalker Han Solo , captain Millennium Falcon , work together companionable droid duo R2-D2 C-3PO rescue beautiful princess , help Rebel Alliance restore freedom justice Galaxy ."
25,Alien,1979,8.4,779638,"After space merchant vessel receives unknown transmission distress call , one crew attacked mysterious life form soon realize life cycle merely begun .","In distant future , crew commercial spaceship Nostromo way home pick distress call distant moon . The crew obligation investigate spaceship descends moon afterwards . After rough landing , three crew members leave spaceship explore area moon . At time discover hive colony unknown creature , ship 's computer deciphers message warning , distress call . When one eggs disturbed , crew realizes alone spaceship must deal consequences .","After space merchant vessel receives unknown transmission distress call , one crew attacked mysterious life form soon realize life cycle merely begun .In distant future , crew commercial spaceship Nostromo way home pick distress call distant moon . The crew obligation investigate spaceship descends moon afterwards . After rough landing , three crew members leave spaceship explore area moon . At time discover hive colony unknown creature , ship 's computer deciphers message warning , distress call . When one eggs disturbed , crew realizes alone spaceship must deal consequences ."
28,A Clockwork Orange,1971,8.3,750281,"In future , sadistic gang leader imprisoned volunteers conduct-aversion experiment , n't go planned .","Protagonist Alex DeLarge `` ultraviolent '' youth futuristic Britain . As luck , eventually runs 's arrested convicted murder rape . While prison , Alex learns experimental program convicts programmed detest violence . If goes program , sentence reduced back streets sooner expected . But Alex 's ordeals far hits streets Britain ..","In future , sadistic gang leader imprisoned volunteers conduct-aversion experiment , n't go planned .Protagonist Alex DeLarge `` ultraviolent '' youth futuristic Britain . As luck , eventually runs 's arrested convicted murder rape . While prison , Alex learns experimental program convicts programmed detest violence . If goes program , sentence reduced back streets sooner expected . But Alex 's ordeals far hits streets Britain .."
51,2001: A Space Odyssey,1968,8.3,596539,"After discovering mysterious artifact buried beneath Lunar surface , mankind sets quest find origins help intelligent supercomputer H.A.L . 9000 .","`` 2001 '' story evolution . Sometime distant past , someone something nudged evolution placing monolith Earth ( presumably elsewhere throughout universe well ) . Evolution enabled humankind reach moon 's surface , yet another monolith found , one signals monolith placers humankind evolved far . Now race begins computers ( HAL ) human ( Bowman ) reach monolith placers . The winner achieve next step evolution , whatever may .","After discovering mysterious artifact buried beneath Lunar surface , mankind sets quest find origins help intelligent supercomputer H.A.L . 9000 .`` 2001 '' story evolution . Sometime distant past , someone something nudged evolution placing monolith Earth ( presumably elsewhere throughout universe well ) . Evolution enabled humankind reach moon 's surface , yet another monolith found , one signals monolith placers humankind evolved far . Now race begins computers ( HAL ) human ( Bowman ) reach monolith placers . The winner achieve next step evolution , whatever may ."
234,Mad Max,1979,6.9,189893,"In self-destructing world , vengeful Australian policeman sets stop violent motorcycle gang .","Taking place dystopian Australia near future , Mad Max tells story highway patrolman cruising squalid back roads become breeding ground criminals foraging gasoline scraps . After grisly events hands motorcycle gang , Max sets across barren wastelands search revenge .","In self-destructing world , vengeful Australian policeman sets stop violent motorcycle gang .Taking place dystopian Australia near future , Mad Max tells story highway patrolman cruising squalid back roads become breeding ground criminals foraging gasoline scraps . After grisly events hands motorcycle gang , Max sets across barren wastelands search revenge ."
241,Close Encounters of the Third Kind,1977,7.6,182894,"Roy Neary , electric lineman , watches quiet ordinary daily life turns upside close encounter UFO .","Two parallel stories told . In first , group research scientists variety backgrounds investigating strange appearance items remote locations , primarily desert regions . In continuing investigation , one lead scientists , Frenchman named Claude Lacombe , incorporates Kodály method music education means communication work . The response , turn , first baffles researchers , American cartographer David Laughlin deciphers meaning response . In second , electric company lineman family man Roy Neary single mother Jillian Guiler among individuals Muncie , Indiana experience paranormal activity flashes bright lights sky , believe UFO . Roy becomes obsessed saw , unlike others , especially form authority , refuse acknowledge belief UFO wanting appear crazy . That obsession ...","Roy Neary , electric lineman , watches quiet ordinary daily life turns upside close encounter UFO .Two parallel stories told . In first , group research scientists variety backgrounds investigating strange appearance items remote locations , primarily desert regions . In continuing investigation , one lead scientists , Frenchman named Claude Lacombe , incorporates Kodály method music education means communication work . The response , turn , first baffles researchers , American cartographer David Laughlin deciphers meaning response . In second , electric company lineman family man Roy Neary single mother Jillian Guiler among individuals Muncie , Indiana experience paranormal activity flashes bright lights sky , believe UFO . Roy becomes obsessed saw , unlike others , especially form authority , refuse acknowledge belief UFO wanting appear crazy . That obsession ..."
